AgentID,C4,C5,experiment,in_degree,max_od
7,0.0,0.05,10,37,8
8,0.0,0.05,10,2,8
9,0.0,0.05,10,9,8
10,0.0,0.05,10,33,8
11,0.0,0.05,10,3,8
12,0.0,0.05,10,5,8
13,0.0,0.05,10,0,8
14,0.0,0.05,10,26,8
15,0.0,0.05,10,1,8
16,0.0,0.05,10,0,8
17,0.0,0.05,10,11,8
18,0.0,0.05,10,0,8
19,0.0,0.05,10,8,8
20,0.0,0.05,10,18,8
21,0.0,0.05,10,4,8
22,0.0,0.05,10,17,8
23,0.0,0.05,10,1,8
24,0.0,0.05,10,0,8
25,0.0,0.05,10,1,8
26,0.0,0.05,10,11,8
27,0.0,0.05,10,1,8
28,0.0,0.05,10,21,8
29,0.0,0.05,10,18,8
30,0.0,0.05,10,0,8
31,0.0,0.05,10,9,8
32,0.0,0.05,10,9,8
33,0.0,0.05,10,14,8
34,0.0,0.05,10,0,8
35,0.0,0.05,10,32,8
36,0.0,0.05,10,2,8
37,0.0,0.05,10,0,8
38,0.0,0.05,10,1,8
39,0.0,0.05,10,12,8
40,0.0,0.05,10,0,8
41,0.0,0.05,10,10,8
42,0.0,0.05,10,14,8
43,0.0,0.05,10,0,8
44,0.0,0.05,10,15,8
45,0.0,0.05,10,1,8
46,0.0,0.05,10,1,8
47,0.0,0.05,10,2,8
48,0.0,0.05,10,6,8
49,0.0,0.05,10,3,8
0,0.0,0.05,11,7,9
1,0.0,0.05,11,1,9
2,0.0,0.05,11,2,9
3,0.0,0.05,11,13,9
4,0.0,0.05,11,0,9
5,0.0,0.05,11,0,9
6,0.0,0.05,11,6,9
7,0.0,0.05,11,15,9
8,0.0,0.05,11,2,9
9,0.0,0.05,11,12,9
10,0.0,0.05,11,0,9
11,0.0,0.05,11,35,9
12,0.0,0.05,11,108,9
13,0.0,0.05,11,33,9
14,0.0,0.05,11,1,9
15,0.0,0.05,11,3,9
16,0.0,0.05,11,5,9
17,0.0,0.05,11,0,9
18,0.0,0.05,11,5,9
19,0.0,0.05,11,0,9
20,0.0,0.05,11,27,9
21,0.0,0.05,11,0,9
22,0.0,0.05,11,1,9
23,0.0,0.05,11,21,9
24,0.0,0.05,11,3,9
25,0.0,0.05,11,1,9
26,0.0,0.05,11,0,9
27,0.0,0.05,11,0,9
28,0.0,0.05,11,3,9
29,0.0,0.05,11,3,9
30,0.0,0.05,11,1,9
31,0.0,0.05,11,0,9
32,0.0,0.05,11,2,9
33,0.0,0.05,11,2,9
34,0.0,0.05,11,14,9
35,0.0,0.05,11,19,9
36,0.0,0.05,11,1,9
37,0.0,0.05,11,0,9
38,0.0,0.05,11,0,9
39,0.0,0.05,11,58,9
40,0.0,0.05,11,2,9
41,0.0,0.05,11,0,9
42,0.0,0.05,11,1,9
43,0.0,0.05,11,31,9
44,0.0,0.05,11,4,9
45,0.0,0.05,11,0,9
46,0.0,0.05,11,6,9
47,0.0,0.05,11,2,9
48,0.0,0.05,11,0,9
49,0.0,0.05,11,0,9
0,0.0,0.1,12,5,4
1,0.0,0.1,12,0,4
2,0.0,0.1,12,31,4
3,0.0,0.1,12,2,4
4,0.0,0.1,12,2,4
5,0.0,0.1,12,0,4
6,0.0,0.1,12,0,4
7,0.0,0.1,12,2,4
8,0.0,0.1,12,6,4
9,0.0,0.1,12,0,4
10,0.0,0.1,12,0,4
11,0.0,0.1,12,0,4
12,0.0,0.1,12,10,4
13,0.0,0.1,12,4,4
14,0.0,0.1,12,4,4
15,0.0,0.1,12,8,4
16,0.0,0.1,12,4,4
17,0.0,0.1,12,0,4
18,0.0,0.1,12,1,4
19,0.0,0.1,12,3,4
20,0.0,0.1,12,4,4
21,0.0,0.1,12,2,4
22,0.0,0.1,12,3,4
23,0.0,0.1,12,1,4
24,0.0,0.1,12,0,4
25,0.0,0.1,12,3,4
26,0.0,0.1,12,3,4
27,0.0,0.1,12,2,4
28,0.0,0.1,12,8,4
29,0.0,0.1,12,36,4
30,0.0,0.1,12,5,4
31,0.0,0.1,12,7,4
32,0.0,0.1,12,0,4
33,0.0,0.1,12,0,4
34,0.0,0.1,12,0,4
35,0.0,0.1,12,1,4
36,0.0,0.1,12,0,4
37,0.0,0.1,12,0,4
38,0.0,0.1,12,16,4
39,0.0,0.1,12,1,4
40,0.0,0.1,12,0,4
41,0.0,0.1,12,7,4
42,0.0,0.1,12,0,4
43,0.0,0.1,12,1,4
44,0.0,0.1,12,0,4
45,0.0,0.1,12,7,4
46,0.0,0.1,12,8,4
47,0.0,0.1,12,0,4
